id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,29008.49,29008.49,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240123087,Sale,2024-01-23,2024-01-23,102964.41,102964.41,,,Paid,,20000.0,,,P003,Premium Product C,3.0,34321.47,Cash,C009,5148.22,97816.19,60000.0,42964.41,,
Sale20240123088,Sale,2024-01-23,2024-01-23,183617.58,183617.58,,,Paid,,50000.0,,,P004,Premium Product D,2.0,91808.79,Cash,C020,9180.88,174436.7,100000.0,83617.57999999999,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,3556.33,3556.33,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,25746.98,25746.98,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240124090,Sale,2024-01-24,2024-01-24,261905.28,261905.28,,,Unpaid,,50000.0,,,P004,Premium Product D,3.0,87301.76,Account Receviable,C020,13095.26,248810.02,150000.0,111905.28,,
Sale20240124091,Sale,2024-01-24,2024-01-24,8599.08,8599.08,,,Paid,,5000.0,,,P001,Premium Product A,1.0,8599.08,Cash,C001,429.95,8169.13,5000.0,3599.08,,
Sale20240124092,Sale,2024-01-24,2024-01-24,29437.83,29437.83,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9812.61,Cash,C008,1471.89,27965.94,15000.0,14437.830000000002,,
Expense20240124001,Financial Expenses,2024-01-24,2024-01-24,10144.74,10144.74,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,14523.86,14523.86,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,23258.58,23258.58,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240125093,Sale,2024-01-25,2024-01-25,17861.34,17861.34,,,Paid,,10000.0,,,P002,Premium Product B,1.0,17861.34,Cash,C011,893.07,16968.27,10000.0,7861.34,,
Sale20240125094,Sale,2024-01-25,2024-01-25,117253.26,117253.26,,,Paid,,20000.0,,,P003,Premium Product C,3.0,39084.42,Cash,C011,5862.66,111390.6,60000.0,57253.259999999995,,
Sale20240125095,Sale,2024-01-25,2024-01-25,199593.38,199593.38,,,Paid,,50000.0,,,P004,Premium Product D,2.0,99796.69,Cash,C017,9979.67,189613.71,100000.0,99593.38,,
Purchase20231231024,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Senior Staff,Unpaid,Account Payable,50000.0,S008,Supplier 8,P004,Premium Product D,4.0,50000.0,,,,,,,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,10210.78,10210.78,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240125001,Financial Expenses,2024-01-25,2024-01-25,6170.6,6170.6,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240126097,Sale,2024-01-26,2024-01-26,39113.14,39113.14,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,19556.57,Account Receviable,C012,1955.66,37157.48,20000.0,19113.14,,
Sale20240126098,Sale,2024-01-26,2024-01-26,78736.66,78736.66,,,Paid,,20000.0,,,P003,Premium Product C,2.0,39368.33,Cash,C004,3936.83,74799.83,40000.0,38736.66,,
Purchase20231231025,Purchase,2023-12-31,2023-12-31,50000.0,50000.0,Director,Supervisor,Paid,Cash,10000.0,S004,Supplier 4,P002,Premium Product B,5.0,10000.0,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,13393.95,13393.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,3240.79,3240.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240127101,Sale,2024-01-27,2024-01-27,9734.05,9734.05,,,Paid,,5000.0,,,P001,Premium Product A,1.0,9734.05,Cash,C003,486.7,9247.35,5000.0,4734.049999999999,,
Sale20240127102,Sale,2024-01-27,2024-01-27,36474.74,36474.74,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,36474.74,Account Receviable,C016,1823.74,34651.0,20000.0,16474.739999999998,,
Sale20240127103,Sale,2024-01-27,2024-01-27,74472.22,74472.22,,,Paid,,20000.0,,,P003,Premium Product C,2.0,37236.11,Cash,C012,3723.61,70748.61,40000.0,34472.22,,
Sale20240127104,Sale,2024-01-27,2024-01-27,177288.14,177288.14,,,Paid,,50000.0,,,P004,Premium Product D,2.0,88644.07,Cash,C003,8864.41,168423.73,100000.0,77288.14000000001,,
Purchase20231231026,Purchase,2023-12-31,2023-12-31,25000.0,25000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S004,Supplier 4,P001,Premium Product A,5.0,5000.0,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,16906.68,16906.68,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,13952.96,13952.96,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240128107,Sale,2024-01-28,2024-01-28,283490.55,283490.55,,,Paid,,50000.0,,,P004,Premium Product D,3.0,94496.85,Cash,C010,14174.53,269316.02,150000.0,133490.55,,
Sale20240128108,Sale,2024-01-28,2024-01-28,17156.88,17156.88,,,Paid,,5000.0,,,P001,Premium Product A,2.0,8578.44,Cash,C011,857.84,16299.04,10000.0,7156.880000000001,,
Sale20240128109,Sale,2024-01-28,2024-01-28,268538.4,268538.4,,,Unpaid,,50000.0,,,P004,Premium Product D,3.0,89512.8,Account Receviable,C004,13426.92,255111.48,150000.0,118538.40000000002,,
Purchase20231231027,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Staff,Unpaid,Account Payable,20000.0,S001,Supplier 1,P003,Premium Product C,7.0,20000.0,,,,,,,,
Purchase20231231028,Purchase,2023-12-31,2023-12-31,450000.0,450000.0,Director,Staff,Paid,Cash,50000.0,S001,Supplier 1,P004,Premium Product D,9.0,50000.0,,,,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,11390.53,11390.53,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,27494.61,27494.61,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240128001,Administrative Expenses,2024-01-28,2024-01-28,24776.04,24776.04,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,350.5515802,350.5515802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
